


Feycraft	KEY:Feycraft ~ Armor	TYPE:Armor	PRETYPE:1,LightArmor,MediumArmor,Light,Medium	VISIBLE:QUALIFY	COST:500	BONUS:EQMARMOR|SPELLFAILURE|-5|TYPE=Enhancement	BONUS:EQM|WEIGHTDIV|.10	SOURCEPAGE:p.274
Feycraft	KEY:Feycraft ~ Shield	TYPE:Shield	PRETYPE:1,EQMOD=Wood					VISIBLE:QUALIFY	COST:500	BONUS:EQMARMOR|SPELLFAILURE|-5|TYPE=Enhancement	BONUS:EQM|WEIGHTDIV|.10	SOURCEPAGE:p.274
Feycraft	KEY:Feycraft ~ Weapon	TYPE:Weapon	PRETYPE:1,EQMOD=Cold Iron	PRETYPE:1,OneHanded,Light	VISIBLE:QUALIFY			COST:1500									BONUS:EQM|WEIGHTDIV|.10	SOURCEPAGE:p.274


Githcraft	KEY:Githcraft ~ Armor	TYPE:Armor.Shield	COST:600						VISIBLE:QUALIFY			BONUS:EQMARMOR|SPELLFAILURE|-5|TYPE=Enhancement	BONUS:SKILL|Concentration|1
Githcraft	KEY:Githcraft ~ Weapon	TYPE:Weapon		COST:900	PRETYPE:1,Piercing,Slashing	VISIBLE:QUALIFY	SPROP:deals an extra 1 point of damage against psionic creatures.

Elemental Power (Air/Large)	KEY:Weapon ~ Element Power Air Large		TYPE:Weapon	PLUS:1		COST:0	VISIBLE:QUALIFY		PREMULT:3,[PRETYPE:2,Enhancement,Weapon],[PRETYPE:1,Melee,Ranged],[PRETYPE:1,EQMOD=SHOCK_M,EQMOD=SHOCK_R,EQMOD=Shock (Weapon/Melee),EQMOD=Shock (Weapon/Ranged),EQMOD=SHK_BR_M,EQMOD=SHK_BR_R,EQMOD=Shocking Burst (Weapon/Melee),EQMOD=Shocking Burst (Weapon/Ranged),EQMOD=SHOCK_BLAST_MELEE,EQMOD=SHOCK_BLAST_RANGED]	SPROP:Once per day, as a Standard Action, the wielder can summon a Large Air Elemental for 11 rounds	SOURCEPAGE:p.254
Elemental Power (Air/Huge)	KEY:Weapon ~ Element Power Air Huge		TYPE:Weapon	PLUS:2		COST:0	VISIBLE:QUALIFY		PREMULT:3,[PRETYPE:2,Enhancement,Weapon],[PRETYPE:1,Melee,Ranged],[PRETYPE:1,EQMOD=SHOCK_M,EQMOD=SHOCK_R,EQMOD=Shock (Weapon/Melee),EQMOD=Shock (Weapon/Ranged),EQMOD=SHK_BR_M,EQMOD=SHK_BR_R,EQMOD=Shocking Burst (Weapon/Melee),EQMOD=Shocking Burst (Weapon/Ranged),EQMOD=SHOCK_BLAST_MELEE,EQMOD=SHOCK_BLAST_RANGED]	SPROP:Once per day, as a Standard Action, the wielder can summon a Huge Air Elemental for 13 rounds	SOURCEPAGE:p.254
Elemental Power (Air/Greater)	KEY:Weapon ~ Element Power Air Greater		TYPE:Weapon	PLUS:3		COST:0	VISIBLE:QUALIFY		PREMULT:3,[PRETYPE:2,Enhancement,Weapon],[PRETYPE:1,Melee,Ranged],[PRETYPE:1,EQMOD=SHOCK_M,EQMOD=SHOCK_R,EQMOD=Shock (Weapon/Melee),EQMOD=Shock (Weapon/Ranged),EQMOD=SHK_BR_M,EQMOD=SHK_BR_R,EQMOD=Shocking Burst (Weapon/Melee),EQMOD=Shocking Burst (Weapon/Ranged),EQMOD=SHOCK_BLAST_MELEE,EQMOD=SHOCK_BLAST_RANGED]	SPROP:Once per day, as a Standard Action, the wielder can summon a Greater Air Elemental for 15 rounds	SOURCEPAGE:p.254
Elemental Power (Air/Elder)	KEY:Weapon ~ Element Power Air Elder		TYPE:Weapon	PLUS:4		COST:0	VISIBLE:QUALIFY		PREMULT:3,[PRETYPE:2,Enhancement,Weapon],[PRETYPE:1,Melee,Ranged],[PRETYPE:1,EQMOD=SHOCK_M,EQMOD=SHOCK_R,EQMOD=Shock (Weapon/Melee),EQMOD=Shock (Weapon/Ranged),EQMOD=SHK_BR_M,EQMOD=SHK_BR_R,EQMOD=Shocking Burst (Weapon/Melee),EQMOD=Shocking Burst (Weapon/Ranged),EQMOD=SHOCK_BLAST_MELEE,EQMOD=SHOCK_BLAST_RANGED]	SPROP:Once per day, as a Standard Action, the wielder can summon an Elder Air Elemental for 17 rounds	SOURCEPAGE:p.254

Elemental Power (Earth/Large)	KEY:Weapon ~ Element Power Earth Large		TYPE:Weapon	PLUS:1		COST:0	VISIBLE:QUALIFY		PREMULT:3,[PRETYPE:2,Enhancement,Weapon],[PRETYPE:1,Melee,Ranged],[PRETYPE:1,EQMOD=Weapon ~ Acid Burst,EQMOD=Weapon ~ Corrosive,EQMOD=ACID_BLAST_MELEE,EQMOD=ACID_BLAST_RANGED]	SPROP:Once per day, as a Standard Action, the wielder can summon a Large Earth Elemental for 11 rounds	SOURCEPAGE:p.256
Elemental Power (Earth/Huge)	KEY:Weapon ~ Element Power Earth Huge		TYPE:Weapon	PLUS:2		COST:0	VISIBLE:QUALIFY		PREMULT:3,[PRETYPE:2,Enhancement,Weapon],[PRETYPE:1,Melee,Ranged],[PRETYPE:1,EQMOD=Weapon ~ Acid Burst,EQMOD=Weapon ~ Corrosive,EQMOD=ACID_BLAST_MELEE,EQMOD=ACID_BLAST_RANGED]	SPROP:Once per day, as a Standard Action, the wielder can summon a Huge Earth Elemental for 13 rounds	SOURCEPAGE:p.256
